DateTime,Radiation,Temperature
5/1/2023 0:00,1.26,9.17
5/1/2023 1:00,1.27,10.23
5/1/2023 2:00,1.28,10.05
5/1/2023 3:00,1.27,10.09
5/1/2023 4:00,1.27,10.09
5/1/2023 5:00,1.28,10.00
5/1/2023 6:00,10.81,9.68
5/1/2023 7:00,137.55,10.79
5/1/2023 8:00,460.83,11.99
5/1/2023 9:00,569.09,12.59
5/1/2023 10:00,493.26,12.73
5/1/2023 11:00,960.82,14.12
5/1/2023 12:00,959.33,13.98
5/1/2023 13:00,620.27,13.89
5/1/2023 14:00,459.67,13.01
5/1/2023 15:00,305.45,12.64
5/1/2023 16:00,149.43,11.90
5/1/2023 17:00,54.67,11.39
5/1/2023 18:00,2.31,11.06
5/1/2023 19:00,1.27,10.83
5/1/2023 20:00,1.28,10.65
5/1/2023 21:00,1.28,10.65
5/1/2023 22:00,1.27,10.32
5/1/2023 23:00,1.28,10.42
5/2/2023 0:00,1.27,10.21
5/2/2023 1:00,1.27,10.56
5/2/2023 2:00,1.26,9.81
5/2/2023 3:00,1.25,9.49
5/2/2023 4:00,1.26,8.75
5/2/2023 5:00,1.24,8.66
5/2/2023 6:00,27.02,9.31
5/2/2023 7:00,242.10,11.30
5/2/2023 8:00,420.41,12.82
5/2/2023 9:00,565.54,12.96
5/2/2023 10:00,625.77,13.75
5/2/2023 11:00,783.63,14.07
5/2/2023 12:00,732.83,13.94
5/2/2023 13:00,754.75,14.21
5/2/2023 14:00,437.71,13.80
5/2/2023 15:00,323.55,13.06
5/2/2023 16:00,168.76,12.27
5/2/2023 17:00,53.55,11.90
5/2/2023 18:00,1.70,11.25
5/2/2023 19:00,1.24,11.11
5/2/2023 20:00,1.23,10.88
5/2/2023 21:00,1.23,10.56
5/2/2023 22:00,1.24,10.56
5/2/2023 23:00,1.24,10.42
5/3/2023 0:00,1.25,10.00
5/3/2023 1:00,1.23,9.86
5/3/2023 2:00,1.24,9.26
5/3/2023 3:00,1.22,8.38
5/3/2023 4:00,1.23,8.98
5/3/2023 5:00,1.22,8.94
5/3/2023 6:00,25.61,9.12
5/3/2023 7:00,173.76,10.23
5/3/2023 8:00,287.83,11.92
5/3/2023 9:00,395.99,12.96
5/3/2023 10:00,492.32,12.92
5/3/2023 11:00,305.56,12.31
5/3/2023 12:00,379.75,12.41
5/3/2023 13:00,338.23,12.22
5/3/2023 14:00,172.27,11.94
5/3/2023 15:00,189.14,11.67
5/3/2023 16:00,131.19,11.71
5/3/2023 17:00,41.92,11.25
5/3/2023 18:00,1.82,11.11
5/3/2023 19:00,1.25,11.11
5/3/2023 20:00,1.25,11.11
5/3/2023 21:00,1.28,10.93
5/3/2023 22:00,1.27,10.56
5/3/2023 23:00,1.25,10.79
5/4/2023 0:00,1.26,11.11
5/4/2023 1:00,1.24,10.14
5/4/2023 2:00,1.23,10.05
5/4/2023 3:00,1.23,9.91
5/4/2023 4:00,1.23,9.68
5/4/2023 5:00,1.23,9.44
5/4/2023 6:00,15.31,9.44
5/4/2023 7:00,106.57,10.46
5/4/2023 8:00,200.69,11.25
5/4/2023 9:00,417.19,12.45
5/4/2023 10:00,458.92,13.47
5/4/2023 11:00,200.06,12.92
5/4/2023 12:00,446.71,13.33
5/4/2023 13:00,225.13,13.06
5/4/2023 14:00,231.92,13.01
5/4/2023 15:00,103.85,12.55
5/4/2023 16:00,127.52,12.36
5/4/2023 17:00,104.15,12.87
5/4/2023 18:00,3.53,11.99
5/4/2023 19:00,1.25,11.30
5/4/2023 20:00,1.23,10.74
5/4/2023 21:00,1.23,10.42
5/4/2023 22:00,1.23,10.09
5/4/2023 23:00,1.22,10.09
5/5/2023 0:00,1.24,10.07
5/5/2023 1:00,1.24,10.23
5/5/2023 2:00,1.23,9.68
5/5/2023 3:00,1.23,9.86
5/5/2023 4:00,1.23,9.44
5/5/2023 5:00,1.24,8.89
5/5/2023 6:00,10.98,8.98
5/5/2023 7:00,174.99,10.93
5/5/2023 8:00,346.21,12.78
5/5/2023 9:00,382.20,12.78
5/5/2023 10:00,444.41,12.82
5/5/2023 11:00,696.92,13.52
5/5/2023 12:00,467.78,13.75
5/5/2023 13:00,482.17,13.61
5/5/2023 14:00,177.86,13.10
5/5/2023 15:00,178.66,12.73
5/5/2023 16:00,187.75,12.59
5/5/2023 17:00,92.84,13.18
5/5/2023 18:00,3.65,12.08
5/5/2023 19:00,1.24,11.16
5/5/2023 20:00,1.25,10.69
5/5/2023 21:00,1.24,10.51
5/5/2023 22:00,1.25,10.42
5/5/2023 23:00,1.24,10.42
5/6/2023 0:00,1.23,10.21
5/6/2023 1:00,1.23,9.12
5/6/2023 2:00,1.23,9.21
5/6/2023 3:00,1.23,8.75
5/6/2023 4:00,1.23,8.80
5/6/2023 5:00,1.22,8.33
5/6/2023 6:00,35.04,7.96
5/6/2023 7:00,144.12,9.44
5/6/2023 8:00,335.30,12.22
5/6/2023 9:00,626.51,13.75
5/6/2023 10:00,818.02,14.58
5/6/2023 11:00,406.44,14.77
5/6/2023 12:00,272.41,14.95
5/6/2023 13:00,351.87,14.81
5/6/2023 14:00,154.03,13.61
5/6/2023 15:00,62.75,12.50
5/6/2023 16:00,56.03,12.18
5/6/2023 17:00,49.59,12.22
5/6/2023 18:00,3.24,11.53
5/6/2023 19:00,1.23,10.97
5/6/2023 20:00,1.23,10.56
5/6/2023 21:00,1.23,10.00
5/6/2023 22:00,1.23,9.77
5/6/2023 23:00,1.23,9.58
5/7/2023 0:00,1.22,8.47
5/7/2023 1:00,1.22,7.92
5/7/2023 2:00,1.22,7.69
5/7/2023 3:00,1.22,7.78
5/7/2023 4:00,1.22,7.41
5/7/2023 5:00,1.22,7.22
5/7/2023 6:00,11.31,7.31
5/7/2023 7:00,220.76,9.44
5/7/2023 8:00,529.68,13.52
5/7/2023 9:00,736.16,13.61
5/7/2023 10:00,747.87,14.44
5/7/2023 11:00,683.37,14.91
5/7/2023 12:00,693.61,15.56
5/7/2023 13:00,333.13,15.09
5/7/2023 14:00,144.22,13.80
5/7/2023 15:00,88.65,12.78
5/7/2023 16:00,29.70,11.99
5/7/2023 17:00,30.49,10.74
5/7/2023 18:00,1.65,10.97
5/7/2023 19:00,1.24,10.56
5/7/2023 20:00,1.24,10.69
5/7/2023 21:00,1.23,9.63
5/7/2023 22:00,1.23,9.44
5/7/2023 23:00,1.23,9.31
5/8/2023 0:00,1.23,9.17
5/8/2023 1:00,1.25,8.84
5/8/2023 2:00,1.23,8.33
5/8/2023 3:00,1.24,8.43
5/8/2023 4:00,1.25,8.38
5/8/2023 5:00,1.24,8.15
5/8/2023 6:00,21.26,8.24
5/8/2023 7:00,126.61,9.26
5/8/2023 8:00,327.73,12.37
5/8/2023 9:00,749.87,15.37
5/8/2023 10:00,872.04,15.97
5/8/2023 11:00,831.77,16.25
5/8/2023 12:00,955.92,16.99
5/8/2023 13:00,557.69,17.08
5/8/2023 14:00,407.48,16.30
5/8/2023 15:00,327.06,15.97
5/8/2023 16:00,66.27,14.31
5/8/2023 17:00,42.36,13.75
5/8/2023 18:00,2.88,12.96
5/8/2023 19:00,1.25,11.71
5/8/2023 20:00,1.24,10.88
5/8/2023 21:00,1.24,10.37
5/8/2023 22:00,1.26,10.00
5/8/2023 23:00,1.25,10.09
5/9/2023 0:00,1.26,10.00
5/9/2023 1:00,1.24,9.95
5/9/2023 2:00,1.22,9.17
5/9/2023 3:00,1.24,8.89
5/9/2023 4:00,1.23,8.43
5/9/2023 5:00,1.23,8.28
5/9/2023 6:00,11.45,8.56
5/9/2023 7:00,217.15,10.79
5/9/2023 8:00,521.16,15.00
5/9/2023 9:00,745.64,16.39
5/9/2023 10:00,889.62,17.87
5/9/2023 11:00,980.45,18.29
5/9/2023 12:00,1053.05,18.13
5/9/2023 13:00,844.45,17.41
5/9/2023 14:00,632.89,17.36
5/9/2023 15:00,473.49,16.62
5/9/2023 16:00,340.10,15.79
5/9/2023 17:00,86.71,14.95
5/9/2023 18:00,1.97,12.50
5/9/2023 19:00,1.24,10.56
5/9/2023 20:00,1.24,10.00
